,image_path,label
0,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10224.jpg,Cloudy
1,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10269.jpg,Cloudy
2,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10096.jpg,Cloudy
3,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10081.jpg,Cloudy
4,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10166.jpg,Cloudy
5,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10173.jpg,Cloudy
6,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10070.jpg,Cloudy
7,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10128.jpg,Cloudy
8,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10021.jpg,Cloudy
9,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10043.jpg,Cloudy
10,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_101.jpg,Cloudy
11,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10788.jpg,Cloudy
12,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10793.jpg,Cloudy
13,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10642.jpg,Cloudy
14,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10621.jpg,Cloudy
15,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10598.jpg,Cloudy
16,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10566.jpg,Cloudy
17,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10552.jpg,Cloudy
18,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1060.jpg,Cloudy
19,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10563.jpg,Cloudy
20,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10581.jpg,Cloudy
21,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10555.jpg,Cloudy
22,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10485.jpg,Cloudy
23,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10493.jpg,Cloudy
24,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10540.jpg,Cloudy
25,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10538.jpg,Cloudy
26,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10609.jpg,Cloudy
27,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10547.jpg,Cloudy
28,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10406.jpg,Cloudy
29,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10333.jpg,Cloudy
